date,julian_day,trt,block,plot,subplot,plant_ID,taxon,functional group,cover,notes
5.30.2019,151,N5,1,5,D,1,ACHILLEA MILLEFOLIUM,FORB,2,
5.30.2019,151,N5,1,5,D,2,ANDROPOGON GERARDII,GRASS,0.5,
5.30.2019,151,N5,1,5,D,3,CAREX SP,GRAMINOID,10,
5.30.2019,151,N5,1,5,D,4,LITTER,LITTER,80,
5.30.2019,151,N5,1,5,D,5,POA PRATENSIS,GRASS,1,
5.30.2019,151,N5,1,5,D,6,RUMEX ACETOSELLA,FORB,2,
5.30.2019,151,N10,1,7,C,7,ANDROPOGON GERARDII,GRASS,0.25,
5.30.2019,151,N10,1,7,C,8,ANTENNARIA NEGLECTA,FORB,0.25,
5.30.2019,151,N10,1,7,C,9,BARE GROUND,BARE GROUND,6,
5.30.2019,151,N10,1,7,C,10,CAREX SP,GRAMINOID,7,
5.30.2019,151,N10,1,7,C,11,LITTER,LITTER,80,
5.30.2019,151,N10,1,7,C,12,PANICUM OLIGOSANTHES,GRASS,0.25,
5.30.2019,151,N10,1,7,C,13,RUMEX ACETOSELLA,FORB,7,
5.30.2019,151,N1,1,9,C,14,ACHILLEA MILLEFOLIUM,FORB,0.5,
5.30.2019,151,N1,1,9,C,15,AGROPYRON REPENS,GRASS,0.5,
5.30.2019,151,N1,1,9,C,16,CAREX SP,GRAMINOID,4,
5.30.2019,151,N1,1,9,C,17,LITTER,LITTER,90,
5.30.2019,151,N1,1,9,C,18,POA PRATENSIS,GRASS,1,
5.30.2019,151,C,1,11,B,19,ACHILLEA MILLEFOLIUM,FORB,3,
5.30.2019,151,C,1,11,B,20,ANDROPOGON GERARDII,GRASS,0.5,
5.30.2019,151,C,1,11,B,21,ANTENNARIA NEGLECTA,FORB,1,
5.30.2019,151,C,1,11,B,22,BARE GROUND,BARE GROUND,7,
5.30.2019,151,C,1,11,B,23,BRYOPHYTE,BRYOPHYTE,1,
5.30.2019,151,C,1,11,B,24,CAREX SP,GRAMINOID,3,
5.30.2019,151,C,1,11,B,25,LITTER,LITTER,80,
5.30.2019,151,C,1,11,B,26,LYCHNIS ALBA,FORB,2,
5.30.2019,151,C,1,11,B,27,POA PRATENSIS,GRASS,2,
5.30.2019,151,C,2,13,B,28,ACHILLEA MILLEFOLIUM,FORB,3,
5.30.2019,151,C,2,13,B,29,ANDROPOGON GERARDII,GRASS,0.5,
5.30.2019,151,C,2,13,B,30,ARABIS DIVARICARPA,FORB,0.25,
5.30.2019,151,C,2,13,B,31,CAREX SP,GRAMINOID,3,
5.30.2019,151,C,2,13,B,32,DANTHONIA SPICATA,GRASS,0.25,Questionable ID. Watch as it grows
5.30.2019,151,C,2,13,B,33,EQUISETUM LAEVIGATUM,FORB,0.25,
5.30.2019,151,C,2,13,B,34,LITTER,LITTER,90,
5.30.2019,151,C,2,13,B,35,POA PRATENSIS,GRASS,2,
5.30.2019,151,C,2,13,B,36,SOLIDAGO SP,FORB,0.5,
5.30.2019,151,N5,2,17,C,37,AGROPYRON REPENS,GRASS,30,
5.30.2019,151,N5,2,17,C,38,LITTER,LITTER,55,
5.30.2019,151,N5,2,17,C,39,POA PRATENSIS,GRASS,15,
5.30.2019,151,N5,2,17,C,40,POLYGONUM CONVULVULUS,FORB,0.5,
5.30.2019,151,N1,2,20,D,41,ACHILLEA MILLEFOLIUM,FORB,7,
5.30.2019,151,N1,2,20,D,42,AGROPYRON REPENS,GRASS,35,
5.30.2019,151,N1,2,20,D,43,LITTER,LITTER,50,
5.30.2019,151,N1,2,20,D,44,POA PRATENSIS,GRASS,5,
5.30.2019,151,N10,2,24,C,45,AGROPYRON REPENS,GRASS,30,
5.30.2019,151,N10,2,24,C,46,BARE GROUND,BARE GROUND,6,
5.30.2019,151,N10,2,24,C,47,LITTER,LITTER,50,Plus ~1% vole coverage
5.30.2019,151,N10,2,24,C,48,POA PRATENSIS,GRASS,3,
5.30.2019,151,N10,2,24,C,49,POLYGONUM CONVULVULUS,FORB,10,
5.30.2019,151,C,3,26,A,50,ACHILLEA MILLEFOLIUM,FORB,0.25,
5.30.2019,151,C,3,26,A,51,AGROPYRON REPENS,GRASS,10,
5.30.2019,151,C,3,26,A,52,EQUISETUM LAEVIGATUM,FORB,0.25,
5.30.2019,151,C,3,26,A,53,LITTER,LITTER,85,
5.30.2019,151,C,3,26,A,54,POA PRATENSIS,GRASS,5,
5.30.2019,151,N1,3,29,B,55,ACHILLEA MILLEFOLIUM,FORB,2,
5.30.2019,151,N1,3,29,B,56,AGROPYRON REPENS,GRASS,25,
5.30.2019,151,N1,3,29,B,57,BARE GROUND,BARE GROUND,5,
5.30.2019,151,N1,3,29,B,58,LITTER,LITTER,60,
5.30.2019,151,N1,3,29,B,59,POA PRATENSIS,GRASS,5,
5.30.2019,151,N10,3,32,C,60,AGROPYRON REPENS,GRASS,4,
5.30.2019,151,N10,3,32,C,61,ANDROPOGON GERARDII,GRASS,0.25,
5.30.2019,151,N10,3,32,C,62,LITTER,LITTER,90,
5.30.2019,151,N10,3,32,C,63,POA PRATENSIS,GRASS,3,
5.30.2019,151,N10,3,32,C,64,RUMEX ACETOSELLA,FORB,1,
5.30.2019,151,N5,3,34,C,65,ACHILLEA MILLEFOLIUM,FORB,4,
5.30.2019,151,N5,3,34,C,66,CAREX SP,GRAMINOID,10,
5.30.2019,151,N5,3,34,C,67,EQUISETUM LAEVIGATUM,FORB,0.5,
5.30.2019,151,N5,3,34,C,68,LITTER,LITTER,55,Plus 1 skink
5.30.2019,151,N5,3,34,C,69,POA PRATENSIS,GRASS,10,
5.30.2019,151,N5,3,34,C,70,SOLIDAGO SP,FORB,20,
5.30.2019,151,C,4,39,A,71,ACHILLEA MILLEFOLIUM,FORB,1,
5.30.2019,151,C,4,39,A,72,AGROPYRON REPENS,GRASS,5,
5.30.2019,151,C,4,39,A,73,CAREX SP,GRAMINOID,10,
5.30.2019,151,C,4,39,A,74,LITTER,LITTER,80,
5.30.2019,151,C,4,39,A,75,POA PRATENSIS,GRASS,4,
5.30.2019,151,N1,4,43,A,76,ACHILLEA MILLEFOLIUM,FORB,5,
5.30.2019,151,N1,4,43,A,77,AGROPYRON REPENS,GRASS,3,
5.30.2019,151,N1,4,43,A,78,CAREX SP,GRAMINOID,7,
5.30.2019,151,N1,4,43,A,79,LITTER,LITTER,80,
5.30.2019,151,N1,4,43,A,80,PANICUM OLIGOSANTHES,GRASS,0.5,
5.30.2019,151,N1,4,43,A,81,POA PRATENSIS,GRASS,7,
5.30.2019,151,N1,4,43,A,82,RUMEX ACETOSELLA,FORB,0.5,
5.30.2019,151,N10,4,44,A,83,AGROPYRON REPENS,GRASS,15,
5.30.2019,151,N10,4,44,A,84,ANDROPOGON GERARDII,GRASS,0.5,
5.30.2019,151,N10,4,44,A,85,CAREX SP,GRAMINOID,10,
5.30.2019,151,N10,4,44,A,86,LITTER,LITTER,75,
5.30.2019,151,N10,4,44,A,87,RUMEX ACETOSELLA,FORB,3,
5.30.2019,151,N5,4,48,D,88,ACHILLEA MILLEFOLIUM,FORB,2,
5.30.2019,151,N5,4,48,D,89,AGROPYRON REPENS,GRASS,17,
5.30.2019,151,N5,4,48,D,90,ASCLEPIAS OVALIFOLIA,FORB,0.25,
5.30.2019,151,N5,4,48,D,91,CAREX SP,GRAMINOID,25,
5.30.2019,151,N5,4,48,D,92,LITTER,LITTER,50,
5.30.2019,151,N5,4,48,D,93,POA PRATENSIS,GRASS,3,
5.30.2019,151,N10,5,50,B,94,AGROPYRON REPENS,GRASS,0.25,
5.30.2019,151,N10,5,50,B,95,CAREX SP,GRAMINOID,7,
5.30.2019,151,N10,5,50,B,96,LITTER,LITTER,85,
5.30.2019,151,N10,5,50,B,97,POA PRATENSIS,GRASS,7,
5.30.2019,151,N10,5,50,B,98,RUMEX ACETOSELLA,FORB,1,
5.30.2019,151,N1,5,55,A,99,ACHILLEA MILLEFOLIUM,FORB,5,
5.30.2019,151,N1,5,55,A,100,CAREX SP,GRAMINOID,3,
5.30.2019,151,N1,5,55,A,101,LITTER,LITTER,85,
5.30.2019,151,N1,5,55,A,102,POA PRATENSIS,GRASS,2,
5.30.2019,151,N1,5,55,A,103,RUMEX ACETOSELLA,FORB,1,
5.30.2019,151,N1,5,55,A,104,SOLIDAGO SP,FORB,5,
5.30.2019,151,C,5,58,C,105,CAREX SP,GRAMINOID,5,
5.30.2019,151,C,5,58,C,106,LITTER,LITTER,90,
5.30.2019,151,C,5,58,C,107,POA PRATENSIS,GRASS,5,
5.30.2019,151,N5,5,59,B,108,ACHILLEA MILLEFOLIUM,FORB,0.25,
5.30.2019,151,N5,5,59,B,109,AGROPYRON REPENS,GRASS,12,
5.30.2019,151,N5,5,59,B,110,CAREX SP,GRAMINOID,15,
5.30.2019,151,N5,5,59,B,111,LITTER,LITTER,65,
