date,julian,month,collection,block,plot,subplot,trt,N_added,individual,plant,functional_group,height,leaf_location,length,width,area,infected_senesced,fungal,senesced,living,infected_all_dates,front_1,front_2,front_3,front_4,front_5,back_1,back_2,back_3,back_4,back_5,NEE
6.18.19,169,June,2,2,13,A,C,0,5,ANDROPOGON GERARDII,GRASS,24.6,Oldest leaf (not senescent),11.1,0.4,4.44,5,,,95,5,0,0,1,1,0,112,100,116,113,111,-8.803544966
6.18.19,169,June,2,2,13,A,C,0,4,ANDROPOGON GERARDII,GRASS,25.5,Oldest leaf (not senescent),12.5,0.35,4.375,10,,,90,10,0,1,1,1,0,115,108,108,120,106,-8.803544966
6.18.19,169,June,2,2,13,A,C,0,3,ANDROPOGON GERARDII,GRASS,30.5,Oldest leaf (not senescent),10.1,0.4,4.04,2,,,98,2,0,0,0,0,0,79,85,103,96,101,-8.803544966
6.18.19,169,June,2,2,13,A,C,0,2,ANDROPOGON GERARDII,GRASS,25.2,Oldest leaf (not senescent),12.4,0.4,4.96,10,,,90,10,0,1,0,0,0,124,106,112,129,120,-8.803544966
6.18.19,169,June,2,2,13,A,C,0,1,ANDROPOGON GERARDII,GRASS,27.2,Oldest leaf (not senescent),9.8,0.4,3.92,5,,,95,5,1,0,0,2,0,97,94,91,93,108,-8.803544966
6.21.2019,172,June,2,2,21,A,C_H,0,5,POA PRATENSIS,GRASS,59.2,Oldest leaf (not senescent),10.5,0.25,2.625,33,,,67,33,121,166,118,,,28,29,30,24,30,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,4,POA PRATENSIS,GRASS,53.5,Oldest leaf (not senescent),5.9,0.3,1.77,10,,,90,10,84,90,97,108,108,25,40,40,36,44,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,3,POA PRATENSIS,GRASS,58.2,Oldest leaf (not senescent),9.5,0.25,2.375,33,,,67,33,84,86,94,92,88,12,13,13,15,18,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,2,POA PRATENSIS,GRASS,36.8,Oldest leaf (not senescent),11.1,0.2,2.22,40,,,60,40,116,118,109,,,18,28,20,17,17,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,1,POA PRATENSIS,GRASS,32.2,Oldest leaf (not senescent),13.1,0.25,3.275,2,,,98,2,,,,,,25,23,22,25,25,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,5,AGROPYRON REPENS,GRASS,31,Oldest leaf (not senescent),16.4,0.5,8.2,5,,,95,5,29,29,28,40,37,32,24,9,6,14,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,4,AGROPYRON REPENS,GRASS,30.3,Oldest leaf (not senescent),13.4,0.45,6.03,20,,,80,20,42,44,44,34,30,13,12,16,19,16,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,3,AGROPYRON REPENS,GRASS,32.3,Oldest leaf (not senescent),8.4,0.45,3.78,10,,,90,10,34,38,37,65,62,20,24,25,32,36,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,2,AGROPYRON REPENS,GRASS,38.6,Oldest leaf (not senescent),11.6,0.45,5.22,15,,,85,15,39,41,44,51,45,17,18,20,25,20,-12.7192799
6.21.2019,172,June,2,2,21,A,C_H,0,1,AGROPYRON REPENS,GRASS,41.9,Oldest leaf (not senescent),12.5,0.55,6.875,20,,,80,20,56,55,52,60,61,23,28,27,28,31,-12.7192799
6.21.2019,172,June,2,2,22,A,K,0,5,AGROPYRON REPENS,GRASS,37.9,Oldest leaf (not senescent),16,0.35,5.6,33,,,67,33,15,13,11,15,17,19,17,14,16,13,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,4,AGROPYRON REPENS,GRASS,40.5,Oldest leaf (not senescent),16.2,0.6,9.72,50,,,50,50,50,46,36,44,46,23,15,25,24,27,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,3,AGROPYRON REPENS,GRASS,31.7,Oldest leaf (not senescent),12.4,0.35,4.34,60,,,40,60,44,44,49,43,45,11,18,12,22,20,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,2,AGROPYRON REPENS,GRASS,29.4,Oldest leaf (not senescent),14.5,0.35,5.075,40,,,60,40,39,31,36,41,36,6,12,9,11,14,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,1,AGROPYRON REPENS,GRASS,26,Oldest leaf (not senescent),15.1,0.45,6.795,60,,,40,60,44,61,53,54,49,13,13,16,21,18,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,3,POA PRATENSIS,GRASS,28.9,Oldest leaf (not senescent),25,0.15,3.75,10,,,90,10,,,,,,,,,,,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,2,POA PRATENSIS,GRASS,27.1,Oldest leaf (not senescent),20.4,0.2,4.08,40,,,60,40,134,,,,,0,0,0,1,2,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,1,POA PRATENSIS,GRASS,32.5,Oldest leaf (not senescent),20.2,0.2,4.04,25,,,75,25,136,122,134,,,0,0,4,4,2,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,5,ANDROPOGON GERARDII,GRASS,19.7,Oldest leaf (not senescent),11,0.7,7.7,40,,,60,40,1,0,1,0,1,114,122,117,129,117,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,4,ANDROPOGON GERARDII,GRASS,16.6,Oldest leaf (not senescent),14.4,0.7,10.08,40,,,60,40,0,5,9,3,7,131,116,121,122,97,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,3,ANDROPOGON GERARDII,GRASS,16,Oldest leaf (not senescent),21.2,0.4,8.48,80,,,20,80,0,0,0,0,0,83,95,88,101,113,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,2,ANDROPOGON GERARDII,GRASS,18.4,Oldest leaf (not senescent),18.8,0.5,9.4,70,,,30,70,0,0,0,0,0,99,99,105,87,120,-11.91149752
6.21.2019,172,June,2,2,22,A,K,0,1,ANDROPOGON GERARDII,GRASS,15.4,Oldest leaf (not senescent),17.2,0.55,9.46,60,,,40,60,0,0,0,0,0,102,118,120,110,118,-11.91149752
6.18.19,169,June,2,2,20,C,N1,1,5,POA PRATENSIS,GRASS,50.2,Oldest leaf (not senescent),7.7,0.35,2.695,0,,,100,0,93,93,98,102,102,32,33,39,30,38,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,4,POA PRATENSIS,GRASS,24.5,Oldest leaf (not senescent),3.7,0.35,1.295,0,,,100,0,109,132,111,97,103,44,42,48,50,43,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,3,POA PRATENSIS,GRASS,24.4,Oldest leaf (not senescent),5.3,0.3,1.59,25,,,75,25,193,190,164,122,174,42,39,42,51,51,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,2,POA PRATENSIS,GRASS,33,Oldest leaf (not senescent),3.6,0.25,0.9,33,,,67,33,121,119,116,100,94,32,31,42,35,43,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,1,POA PRATENSIS,GRASS,25.1,Oldest leaf (not senescent),4.7,0.25,1.175,0,,,100,0,106,122,118,120,104,44,47,37,38,51,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,5,AGROPYRON REPENS,GRASS,43.8,Oldest leaf (not senescent),17.5,0.5,8.75,0,,,100,0,52,40,47,37,46,23,19,25,22,22,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,4,AGROPYRON REPENS,GRASS,45.9,Oldest leaf (not senescent),18.8,0.6,11.28,0,,,100,0,47,42,47,45,34,19,19,17,19,19,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,3,AGROPYRON REPENS,GRASS,35,Oldest leaf (not senescent),14.6,0.6,8.76,0,,,100,0,49,41,47,42,54,28,26,24,29,31,-9.986757555
6.18.19,169,June,2,2,20,C,N1,1,2,AGROPYRON REPENS,GRASS,42.6,Oldest leaf (not senescent),16.1,0.55,8.855,25,,,75,25,35,35,42,39,38,22,24,26,24,27,-9.986757555
