month,date,julian,host,full_name,photosyn,block,plot,trt,N_added,PK_added,plant,height,leaves,new_dead,new_rust,new_bs,new_invert,old_dead,old_rust,old_bs,old_invert,total,notes,ks_added_infected_old
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,1,48,6,0,0,,1,20,1,,5,21,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,2,38,4,0,0,,1,10,1,,10,11,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,3,57,5,20,10,,10,20,5,,10,25,,5
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,4,41,4,5,1,,0,5,1,,5,6,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,7,44,6,0,1,,1,5,1,,1,6,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,10,30,3,5,1,,10,30,1,,10,31,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,14,38,5,0,1,,1,5,1,,10,6,,1
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,17,48,5,0,1,,1,20,10,,0,30,,10
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,18,46,5,0,1,,0,5,10,,5,15,,10
July,7/8/19,189,Agre,Agropyron repens,C3,1,11,C,0,no_pk,19,64,5,0,1,,1,10,10,,0,20,,10
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,1,43,5,0,0,,0,30,5,,1,35,,5
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,3,31,3,0,1,,5,5,10,,20,15,,10
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,4,72,4,0,0,,0,0,1,,0,1,,1
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,8,44,6,0,0,,0,10,10,,10,20,,10
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,9,49,6,0,0,,0,20,10,,1,30,,10
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,12,55,7,0,1,,10,10,20,,5,30,,20
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,14,40,6,0,1,,0,20,20,,10,40,,20
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,15,58,6,0,0,,0,20,20,,10,40,,20
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,17,29,5,0,0,,0,10,1,,1,11,,1
July,7/8/19,189,Agre,Agropyron repens,C3,2,13,C,0,no_pk,19,61,4,0,1,,1,10,10,,5,20,,10
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,1,44,6,0,1,,1,5,20,,5,25,,20
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,2,47,6,0,5,,0,40,20,,10,60,,20
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,3,49,6,0,5,,0,30,10,,5,40,,10
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,4,46,6,0,1,,0,5,10,,1,15,,10
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,5,50,6,0,1,,0,20,20,,5,40,,20
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,6,62,7,0,1,,1,30,10,,10,40,,10
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,7,65,6,0,0,,0,40,5,,10,45,,5
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,8,52,6,0,1,,1,20,20,,10,40,,20
July,7/8/19,189,Agre,Agropyron repens,C3,3,26,C,0,no_pk,9,51,6,0,1,,1,5,5,,10,10,,5
